cluster,pt_00,pt_01,pt_02,pt_03,pt_04,pt_05,pt_06,pt_07,pt_08,pt_09,pt_10,pt_11,pt_12,pt_13,pt_14,pt_15,pt_16,pt_17,pt_18,pt_19,pt_20,pt_21,pt_22,pt_23,pt_24,pt_25,pt_26,pt_27,pt_28,pt_29
C1,-1.133035002536452,-1.2026633614129818,-1.2771902511676347,-1.3512004867919436,-1.4197099489968448,-1.4768611418618933,-1.52368487471598,-1.5620559710723343,-1.594147876782662,-1.6192852555532924,-1.6423428984108583,-1.6596248853614954,-1.670462752173428,-1.6789341306591765,-1.6833185063385696,-1.6871000147437643,-1.6892353518870882,-1.6888142818943959,-1.6818660022840672,-1.67499768848813,-1.663868071399524,-1.6443807772177519,-1.620630305544411,-1.589276209420523,-1.548025719005193,-1.4936764533162465,-1.425426255275866,-1.2469513033178452,-0.8259900142688998,-0.152637872309588
C2,-1.4015820110787705,-1.621176091608691,-1.8689737729013642,-2.1085611194027454,-2.322275875019013,-2.5098541823821003,-2.6871452899031687,-2.8587124731691134,-3.013243859245851,-3.156502222553157,-3.2777001673794572,-3.388486268085552,-3.480711702640829,-3.560522890840767,-3.623295044337724,-3.6850392872289666,-3.7330839908184243,-3.765311821133845,-3.7899994819977914,-3.8078074262089516,-3.8291928230795764,-3.8336476419568726,-3.812581140187599,-3.7686351289663818,-3.697048844369487,-3.552882358463976,-3.2886785764004856,-2.8048612887247093,-1.8981470090229489,-0.24342784715050264
C3,-4.317859093391595,-5.357483191773856,-6.208911655586737,-6.859253469933518,-7.3330100378538265,-7.635153204391807,-7.8313245070528605,-7.903736416881671,-7.89941430158761,-7.819205634757706,-7.663439989453655,-7.451430347087511,-7.173967494679743,-6.823433586319902,-6.4516657564172455,-6.061677244392546,-5.652055594267315,-5.250748601668582,-4.861824139814315,-4.4997269251775,-4.170596433077839,-3.8876344187272833,-3.6253130944085568,-3.361711143336033,-3.1414056761897626,-2.874988229533516,-2.5683346202376685,-2.0799167592610037,-1.1371023936420677,0.19879847078099355
C4,-1.8453212290502767,-2.2831944712001553,-2.714879117703722,-3.0841560714056424,-3.4036031914210403,-3.6936404353689096,-3.986647563089966,-4.2506300969626984,-4.549368297694723,-4.8511486226160585,-5.2028711552045195,-5.571281223913177,-5.966299845887104,-6.373615392024671,-6.749715051692009,-7.146603897771776,-7.448584890515645,-7.77109821485905,-8.055420439221722,-8.310493321774853,-8.503880915687404,-8.591283792461297,-8.53248009375202,-8.33647579143391,-8.037777724266363,-7.559144834007564,-6.896716271752403,-5.7860118474282425,-3.895295543568997,-0.7254422718808196
C5,-5.705846528623626,-7.737977235499181,-9.19259523709522,-10.104141291108405,-11.08154479398546,-11.78002016044353,-12.249632491914822,-12.77682809021799,-13.324520139443067,-13.851967743290349,-14.21800579612751,-14.478075517661384,-14.70051241127304,-15.010017220378842,-15.07490864799025,-15.13169389726574,-15.226447981855603,-15.27613507497165,-15.098009156201435,-14.912911084043852,-14.531626695787306,-14.079738754252594,-13.38806753748583,-12.681359989919773,-11.95335797387543,-11.05676424881347,-9.906988953756983,-8.434184552060147,-6.081460792137429,-2.543848964677223
