morphotype,duration_s,drop_pct,nadir_spo2,slope_desat_pct_s,slope_recov_pct_s,auc_spo2_pct_s,ird_event,ird_spo2_comp,ird_hr_comp,ird_mov_comp
α,18.250278086763068,11.01218404388449,83.12319243604004,1.8396384288152927,1.9382854110593306,82.34670467185762,4.467161800076718,0.11774637933898399,0.05115333020105868,21.96471305673454
β,18.87414456800684,3.9321915374675123,90.2786569717707,0.6756411542029586,0.5360006091151206,37.864454127459354,0.7542196202198879,0.041864590302148584,0.029027193544394127,3.6228958350276486
γ,20.55534567434832,4.891463948331059,89.25972799395541,0.8458515805022779,0.6750952668453492,50.098743860974665,1.5750569180960454,0.052152236039332917,0.1756302199350899,7.481458670479261
δ,108.90434782608695,19.682717289121303,75.6,2.623529263388917,0.38918724589641485,1454.1260869565217,13.430753930550884,0.2091381559166499,0.0786677152075641,66.51292269015144
ε,16.962555066079293,16.900295073716144,77.95594713656388,12.916666666666668,1.2184025082104437,110.91519823788546,8.450275625613191,0.180590485586979,0.05514733652644006,41.71718090930884
ζ,24.94195250659631,9.699590680363237,84.97526385224273,1.2717882675901855,1.2179783355716607,104.49530013192611,18.543899469712677,0.10300741873857794,0.06014998561825446,92.37175382328964
η,18.978840682788046,5.625418135159631,88.68207681365575,1.0831816827255758,0.7248367383432556,53.11193100995732,9.901528282967902,0.05983535845365161,0.03165805957758494,49.310565929339006
θ,22.936153846153847,23.20043316741612,71.45153846153846,2.7294883406441306,3.0254346425375784,175.88365384615383,11.0021886960022,0.24927091548651567,0.056921312167524454,54.30238422304342
ι,17.17283950617284,20.037060477510618,74.8641975308642,1.51124717348033,14.436213991769547,107.87962962962962,10.206770603408632,0.21471309791672638,0.05895824138031482,50.40863291018087
κ,45.83054208902601,6.556386647501416,87.76641692375496,0.2956853915201244,0.638253872792617,150.28382547377703,2.3859706274679873,0.06993491362152135,0.07736811583629308,11.638963679531692
