state,spo2_mean,spo2_std,spo2_min,spo2_max,spo2_p10,spo2_p90,hr_mean,hr_std,hr_min,hr_max,hr_p10,hr_p90,mov_mean,mov_std,mov_max,n_edos_total,n_alpha,n_beta,n_gamma,n_delta,ird_mean_local,frac_wake,frac_light_sleep,frac_deep_sleep
L0,92.51654907483527,2.8138517366869786,77.97546728971963,98.32593457943925,88.97908878504673,95.36121495327103,66.84951553707846,5.6884824741412,56.14836448598131,84.8855140186916,60.99264018691589,74.46950934579439,7.087430764766509,16.853340402196736,221.06775700934583,19.109813084112147,1.8831775700934568,8.120327102803738,2.4591121495327104,0.051401869158878524,3.7582276495872544,0.2240104538470243,0.4999381490989281,0.2760513970540476
L1,94.4053047152084,1.7255660355126607,78.37087264150944,98.7317216981132,92.91639150943396,95.92063679245283,56.223042853167236,2.9162120483123655,49.599646226415096,68.89091981132076,53.08189858490566,59.72535377358491,4.660620694217921,13.147308023410975,216.08077830188682,10.494103773584905,0.637382075471698,6.357311320754716,0.7747641509433966,0.02535377358490566,3.9091666584166456,0.11387666882567785,0.5148050868241213,0.3713182443502009
L2,93.55231066532909,1.4033180388056135,83.0968649517685,97.47307073954984,92.12926045016077,94.98311897106109,65.4436088581478,2.9803372342885375,58.571945337620576,78.53697749196141,62.210570739549844,69.09770900321544,3.780296102286985,9.606511040322438,185.92323151125402,11.660369774919614,0.4063504823151126,8.033360128617364,0.8995176848874602,0.002009646302250789,2.6752806895374017,0.16094903724395926,0.5232714143399929,0.31577954841604783
L3,94.28313560063938,0.9344901110045464,87.20736519070583,97.08680403331871,93.3768084173608,95.18290223586146,57.91954229970512,2.6310217091122423,51.95396755808856,70.70056992547129,55.16457693993862,61.02590968873301,2.7663139116838247,4.390701286185287,104.34107847435335,6.009644892590969,0.17316966242875814,4.170539237176685,0.9342393686979397,-2.7755575615628914e-17,1.682119096339033,0.09022097957382097,0.5200218950151193,0.38975712541105967
